list-none-s,1,1000,1,3000,4238013,1412,42
list-none-s,2,1000,1,6000,45804510,7634,11225
list-none-s,4,1000,1,12000,119716761,9976,44815
list-none-s,8,1000,1,24000,505946934,21081,219494
list-none-s,12,1000,1,36000,1359607654,37766,620715
list-none-s,16,1000,1,48000,2702069920,56293,1261130
list-none-s,24,1000,1,72000,5075110757,70487,2094300
list-id-none,1,1,4,3,239951,79983,0
list-id-none,1,2,4,6,260787,43464,0
list-id-none,1,4,4,12,229745,19145,0
list-id-none,1,8,4,24,237294,9887,0
list-id-none,1,16,4,48,263363,5486,0
list-id-none,4,1,4,12,315972,26331,0
list-id-none,4,2,4,24,297045,12376,0
list-id-none,4,4,4,48,306322,6381,0
list-id-none,4,8,4,96,326823,3404,0
list-id-none,4,16,4,192,277607,1445,0
list-id-none,8,1,4,24,433920,18080,0
list-id-none,8,2,4,48,1151039,23979,0
list-id-none,8,4,4,96,447002,4656,0
list-id-none,8,8,4,192,435933,2270,0
list-id-none,8,16,4,384,430345,1120,0
list-id-none,12,1,4,36,1201034,33362,0
list-id-none,12,2,4,72,1166048,16195,0
list-id-none,12,8,4,288,1251632,4345,0
list-id-none,16,1,4,48,1203913,25081,0
list-id-none,16,2,4,96,1341157,13970,0
list-id-none,16,4,4,192,1030013,5364,0
list-id-none,16,16,4,768,1219660,1588,0
list-id-s,1,10,4,30,235785,7859,56
list-id-m,1,10,4,30,246554,8218,118
list-id-s,1,20,4,60,271020,4517,50
list-id-m,1,20,4,60,272063,4534,82
list-id-s,1,40,4,120,288095,2400,46
list-id-m,1,40,4,120,241027,2008,65
list-id-s,1,80,4,240,301874,1257,44
list-id-m,1,80,4,240,286150,1192,55
list-id-s,4,10,4,120,338986,2824,111
list-id-m,4,10,4,120,271459,2262,415
list-id-s,4,20,4,240,357709,1490,602
list-id-m,4,20,4,240,339598,1414,835
list-id-s,4,40,4,480,478173,996,777
list-id-m,4,40,4,480,559571,1165,1234
list-id-s,4,80,4,960,767663,799,1153
list-id-m,4,80,4,960,826005,860,1349
list-id-s,8,10,4,240,445046,1854,103
list-id-m,8,10,4,240,402072,1675,211
list-id-s,8,20,4,480,412469,859,807
list-id-m,8,20,4,480,573830,1195,2747
list-id-s,8,40,4,960,641652,668,3137
list-id-m,8,40,4,960,842847,877,3275
list-id-s,8,80,4,1920,1654507,861,5299
list-id-m,8,80,4,1920,1408049,733,3999
list-id-s,12,10,4,360,949709,2638,168
list-id-m,12,10,4,360,833786,2316,80
list-id-s,12,20,4,720,540762,751,691
list-id-m,12,20,4,720,536752,745,2221
list-id-s,12,40,4,1440,1107597,769,3908
list-id-m,12,40,4,1440,860715,597,2565
list-id-s,12,80,4,2880,2707259,940,10795
list-id-m,12,80,4,2880,1996050,693,6448
list-id-s,16,10,4,480,1269836,2645,77
list-id-m,16,10,4,480,1393251,2902,285
list-id-s,16,20,4,960,1247862,1299,843
list-id-m,16,20,4,960,1242560,1294,397
list-id-s,16,40,4,1920,1538747,801,9683
list-id-m,16,40,4,1920,1444273,752,8747
list-id-s,16,80,4,3840,3653960,951,15044
list-id-m,16,80,4,3840,2919792,760,11198
list-none-m,1,1000,4,3000,1593990,531,46
list-none-s,1,1000,4,3000,1600559,533,46
list-none-m,1,1000,8,3000,1199409,399,46
list-none-s,1,1000,8,3000,1118984,372,43
list-none-m,1,1000,16,3000,1012023,337,46
list-none-s,1,1000,16,3000,994536,331,43
list-none-m,2,1000,4,6000,9362531,1560,1294
list-none-s,2,1000,4,6000,11964902,1994,921
list-none-m,2,1000,8,6000,6284703,1047,642
list-none-s,2,1000,8,6000,7218501,1203,352
list-none-m,2,1000,16,6000,4362544,727,368
list-none-s,2,1000,16,6000,4410181,735,199
list-none-m,4,1000,4,12000,18956655,1579,4323
list-none-s,4,1000,4,12000,18656682,1554,3642
list-none-m,4,1000,8,12000,10099166,841,1680
list-none-s,4,1000,8,12000,9063938,755,1030
list-none-m,4,1000,16,12000,5988189,499,733
list-none-s,4,1000,16,12000,5251186,437,373
list-none-m,8,1000,4,24000,57694171,2403,18379
list-none-s,8,1000,4,24000,46889978,1953,14459
list-none-m,8,1000,8,24000,23410567,975,5582
list-none-s,8,1000,8,24000,17875786,744,3754
list-none-m,8,1000,16,24000,11695732,487,1984
list-none-s,8,1000,16,24000,8670639,361,1054
list-none-m,12,1000,4,36000,123562584,3432,45335
list-none-s,12,1000,4,36000,103499054,2874,37176
list-none-m,12,1000,8,36000,44061613,1223,12840
list-none-s,12,1000,8,36000,34353368,954,9460
list-none-m,12,1000,16,36000,19718389,547,4107
list-none-s,12,1000,16,36000,14482733,402,2555
